Id,Label,Modularity Class,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,Myriel,0,10,31.0,4.0,2.3289473684210527,504.0,0.01880342,0.01880342,0.04282173904060684,0,0.06666666666666667,3,0.12589774854449567
1,Napoleon,0,1,1.0,5.0,3.3157894736842106,0.0,0.0034188034,0.0034188034,0.005584292636474749,0,0.0,0,0.013644880522103907
2,MlleBaptistine,0,3,17.0,4.0,2.4210526315789473,0.0,0.006837607,0.006837607,0.01027959384537412,0,1.0,3,0.11188607125816913
3,MmeMagloire,0,3,19.0,4.0,2.4210526315789473,0.0,0.006837607,0.006837607,0.01027959384537412,0,1.0,3,0.11188607125816913
4,CountessDeLo,0,1,1.0,5.0,3.3157894736842106,0.0,0.0034188034,0.0034188034,0.005584292636474749,0,0.0,0,0.013644880522103907
5,Geborand,0,1,1.0,5.0,3.3157894736842106,0.0,0.0034188034,0.0034188034,0.005584292636474749,0,0.0,0,0.013644880522103907
6,Champtercier,0,1,1.0,5.0,3.3157894736842106,0.0,0.0034188034,0.0034188034,0.005584292636474749,0,0.0,0,0.013644880522103907
7,Cravatte,0,1,1.0,5.0,3.3157894736842106,0.0,0.0034188034,0.0034188034,0.005584292636474749,0,0.0,0,0.013644880522103907
8,Count,0,1,2.0,5.0,3.3157894736842106,0.0,0.0034188034,0.0034188034,0.005584292636474749,0,0.0,0,0.013644880522103907
9,OldMan,0,1,1.0,5.0,3.3157894736842106,0.0,0.0034188034,0.0034188034,0.005584292636474749,0,0.0,0,0.013644880522103907
10,Labarre,2,1,1.0,4.0,2.539473684210526,0.0,0.0034188034,0.0034188034,0.0037293246909762294,0,0.0,0,0.08736417108874862
11,Valjean,2,36,158.0,3.0,1.5526315789473684,1624.4688004333127,0.06324787,0.06324787,0.07543601683120899,0,0.12063492063492064,76,1.0
12,Marguerite,1,2,3.0,4.0,2.4210526315789473,0.0,0.0051282053,0.0051282053,0.005260577762950476,0,1.0,1,0.1248881432416597
13,MmeDeR,2,1,1.0,4.0,2.539473684210526,0.0,0.0034188034,0.0034188034,0.0037293246909762294,0,0.0,0,0.08736417108874862
14,Isabeau,2,1,1.0,4.0,2.539473684210526,0.0,0.0034188034,0.0034188034,0.0037293246909762294,0,0.0,0,0.08736417108874862
15,Gervais,2,1,1.0,4.0,2.539473684210526,0.0,0.0034188034,0.0034188034,0.0037293246909762294,0,0.0,0,0.08736417108874862
16,Tholomyes,1,9,26.0,4.0,2.5526315789473686,115.793642305407,0.017094018,0.017094018,0.015646356696336107,0,0.6111111111111112,22,0.22502057525598232
17,Listolier,1,7,24.0,5.0,2.9342105263157894,0.0,0.013675214,0.013675214,0.01261738411602266,0,1.0,21,0.12757838866295002
18,Fameuil,1,7,24.0,5.0,2.9342105263157894,0.0,0.013675214,0.013675214,0.01261738411602266,0,1.0,21,0.12757838866295002
19,Blacheville,1,7,25.0,5.0,2.9342105263157894,0.0,0.013675214,0.013675214,0.01261738411602266,0,1.0,21,0.12757838866295002
20,Favourite,1,7,26.0,5.0,2.9342105263157894,0.0,0.013675214,0.013675214,0.01261738411602266,0,1.0,21,0.12757838866295002
21,Dahlia,1,7,25.0,5.0,2.9342105263157894,0.0,0.013675214,0.013675214,0.01261738411602266,0,1.0,21,0.12757838866295002
22,Zephine,1,7,24.0,5.0,2.9342105263157894,0.0,0.013675214,0.013675214,0.01261738411602266,0,1.0,21,0.12757838866295002
23,Fantine,1,15,47.0,4.0,2.1710526315789473,369.4869418163536,0.027350428,0.027350428,0.027022282017457207,0,0.3142857142857143,33,0.4046733463057287
24,MmeThenardier,4,11,34.0,4.0,2.1710526315789473,82.65689338181602,0.020512821,0.020512821,0.019500678327488735,0,0.4909090909090909,27,0.4633759606776108
25,Thenardier,4,16,61.0,3.0,1.9342105263157894,213.46848051759042,0.02905983,0.02905983,0.02792520018007621,0,0.4083333333333333,49,0.676494721845158
26,Cosette,2,11,68.0,4.0,2.0921052631578947,67.81932234432234,0.020512821,0.020512821,0.020610847994680038,0,0.38181818181818183,21,0.42094927831374934
27,Javert,2,17,47.0,3.0,1.9342105263157894,154.84494504463544,0.03076923,0.03076923,0.030302492133462325,0,0.3235294117647059,44,0.6765355896405886
28,Fauchelevent,2,4,14.0,4.0,2.486842105263158,75.5,0.008547009,0.008547009,0.011638745548006318,0,0.3333333333333333,2,0.1567411582284451
29,Bamatabois,3,8,11.0,4.0,2.3421052631578947,22.91666666666667,0.015384615,0.015384615,0.015578036464006663,0,0.6428571428571429,18,0.2676585868501075
