source,target,type,id,label,weight
171,250,Directed,0,,4
171,196,Directed,1,,79
171,128,Directed,2,,1
171,222,Directed,3,,20
106,171,Directed,4,,1
250,171,Directed,5,,7
280,171,Directed,6,,18
222,171,Directed,7,,13
219,171,Directed,8,,6
193,171,Directed,9,,11
69,171,Directed,10,,3
171,135,Directed,11,,1
171,196,Directed,12,,56
171,64,Directed,13,,24
171,222,Directed,14,,25
171,3,Directed,15,,1
48,171,Directed,16,,1
267,171,Directed,17,,1
278,171,Directed,18,,4
71,171,Directed,19,,1
158,171,Directed,20,,1
64,171,Directed,21,,15
222,171,Directed,22,,5
219,171,Directed,23,,4
13,171,Directed,24,,2
193,171,Directed,25,,3
272,171,Directed,26,,8
171,255,Directed,27,,1
171,187,Directed,28,,7
171,233,Directed,29,,5
171,80,Directed,30,,1
171,232,Directed,31,,6
171,153,Directed,32,,1
171,41,Directed,33,,1
171,144,Directed,34,,1
171,103,Directed,35,,1
171,196,Directed,36,,58
171,218,Directed,37,,1
171,51,Directed,38,,1
171,258,Directed,39,,4
171,222,Directed,40,,22
187,171,Directed,41,,3
233,171,Directed,42,,3
232,171,Directed,43,,3
214,171,Directed,44,,7
43,171,Directed,45,,3
62,171,Directed,46,,3
30,171,Directed,47,,1
156,171,Directed,48,,1
223,171,Directed,49,,14
18,171,Directed,50,,7
258,171,Directed,51,,1
222,171,Directed,52,,10
281,171,Directed,53,,2
193,171,Directed,54,,16
255,47,Directed,55,,23
255,154,Directed,56,,1
255,6,Directed,57,,1
255,145,Directed,58,,1
255,78,Directed,59,,1
255,130,Directed,60,,60
187,10,Directed,61,,5
187,132,Directed,62,,17
187,96,Directed,63,,10
187,23,Directed,64,,3
187,233,Directed,65,,1
187,20,Directed,66,,1
187,246,Directed,67,,4
187,76,Directed,68,,2
250,109,Directed,69,,17
250,293,Directed,70,,6
233,187,Directed,71,,2
80,74,Directed,72,,1
80,54,Directed,73,,24
80,210,Directed,74,,133
80,192,Directed,75,,1
80,203,Directed,76,,1
80,231,Directed,77,,10
80,120,Directed,78,,17
80,190,Directed,79,,1
80,177,Directed,80,,6
232,247,Directed,81,,25
232,108,Directed,82,,5
232,226,Directed,83,,12
232,68,Directed,84,,10
232,110,Directed,85,,61
232,15,Directed,86,,2
232,128,Directed,87,,1
153,261,Directed,88,,5
153,224,Directed,89,,29
153,102,Directed,90,,4
153,288,Directed,91,,2
153,264,Directed,92,,2
153,26,Directed,93,,1
153,191,Directed,94,,6
153,216,Directed,95,,11
41,186,Directed,96,,70
41,215,Directed,97,,3
41,35,Directed,98,,1
41,8,Directed,99,,1
41,56,Directed,100,,22
41,122,Directed,101,,3
135,205,Directed,102,,2
103,165,Directed,103,,9
103,164,Directed,104,,3
103,67,Directed,105,,1
103,279,Directed,106,,48
103,206,Directed,107,,3
128,221,Directed,108,,2
128,55,Directed,109,,55
128,198,Directed,110,,4
128,53,Directed,111,,1
128,229,Directed,112,,3
128,60,Directed,113,,2
128,133,Directed,114,,2
128,201,Directed,115,,6
128,78,Directed,116,,3
128,185,Directed,117,,4
218,181,Directed,118,,14
218,77,Directed,119,,10
218,29,Directed,120,,38
218,245,Directed,121,,6
218,166,Directed,122,,1
64,158,Directed,123,,42
51,254,Directed,124,,3
51,208,Directed,125,,1
51,110,Directed,126,,30
51,101,Directed,127,,4
51,138,Directed,128,,47
222,106,Directed,129,,3
3,93,Directed,130,,2
255,130,Directed,131,,13
250,109,Directed,132,,43
250,262,Directed,133,,1
80,72,Directed,134,,10
80,212,Directed,135,,1
80,210,Directed,136,,89
80,120,Directed,137,,33
80,253,Directed,138,,1
80,167,Directed,139,,1
80,66,Directed,140,,21
153,224,Directed,141,,34
153,5,Directed,142,,2
153,136,Directed,143,,1
153,292,Directed,144,,13
153,216,Directed,145,,4
153,16,Directed,146,,4
41,186,Directed,147,,56
41,56,Directed,148,,24
41,44,Directed,149,,2
41,289,Directed,150,,11
41,211,Directed,151,,2
41,122,Directed,152,,21
41,87,Directed,153,,5
144,200,Directed,154,,23
144,243,Directed,155,,2
144,285,Directed,156,,1
144,174,Directed,157,,2
144,222,Directed,158,,1
128,7,Directed,159,,6
128,55,Directed,160,,19
128,82,Directed,161,,1
128,282,Directed,162,,2
128,148,Directed,163,,1
128,75,Directed,164,,2
218,91,Directed,165,,14
218,29,Directed,166,,13
218,117,Directed,167,,3
218,84,Directed,168,,1
64,270,Directed,169,,1
64,149,Directed,170,,8
64,11,Directed,171,,15
64,158,Directed,172,,168
64,159,Directed,173,,2
64,199,Directed,174,,4
51,138,Directed,175,,11
258,45,Directed,176,,1
222,106,Directed,177,,2
222,142,Directed,178,,2
222,144,Directed,179,,2
222,131,Directed,180,,4
218,84,Directed,181,,4
255,220,Directed,182,,8
255,243,Directed,183,,1
255,1,Directed,184,,1
255,65,Directed,185,,2
255,70,Directed,186,,2
255,275,Directed,187,,8
255,24,Directed,188,,8
255,274,Directed,189,,1
255,4,Directed,190,,1
255,126,Directed,191,,4
255,225,Directed,192,,1
255,141,Directed,193,,4
255,130,Directed,194,,77
187,251,Directed,195,,1
187,96,Directed,196,,6
187,31,Directed,197,,7
187,115,Directed,198,,15
187,34,Directed,199,,4
187,76,Directed,200,,5
250,109,Directed,201,,48
233,34,Directed,202,,2
80,276,Directed,203,,1
80,5,Directed,204,,1
80,21,Directed,205,,1
80,170,Directed,206,,1
80,1,Directed,207,,1
80,210,Directed,208,,203
80,238,Directed,209,,1
80,8,Directed,210,,1
80,241,Directed,211,,1
80,239,Directed,212,,1
80,37,Directed,213,,1
80,83,Directed,214,,1
80,124,Directed,215,,5
80,120,Directed,216,,65
80,194,Directed,217,,1
232,213,Directed,218,,6
232,108,Directed,219,,1
232,68,Directed,220,,17
232,32,Directed,221,,3
232,110,Directed,222,,47
232,172,Directed,223,,1
232,277,Directed,224,,5
153,224,Directed,225,,20
153,5,Directed,226,,4
153,137,Directed,227,,2
41,186,Directed,228,,40
41,139,Directed,229,,1
41,179,Directed,230,,1
41,56,Directed,231,,9
41,85,Directed,232,,15
144,200,Directed,233,,17
144,174,Directed,234,,8
144,269,Directed,235,,1
144,290,Directed,236,,4
135,273,Directed,237,,1
135,86,Directed,238,,2
103,168,Directed,239,,4
103,279,Directed,240,,11
128,125,Directed,241,,11
128,55,Directed,242,,14
128,143,Directed,243,,5
128,257,Directed,244,,1
128,75,Directed,245,,4
128,52,Directed,246,,5
128,36,Directed,247,,1
218,184,Directed,248,,2
218,29,Directed,249,,18
218,121,Directed,250,,4
218,90,Directed,251,,7
218,256,Directed,252,,3
64,105,Directed,253,,14
64,235,Directed,254,,1
64,158,Directed,255,,161
64,46,Directed,256,,12
64,182,Directed,257,,2
64,50,Directed,258,,25
51,254,Directed,259,,2
51,129,Directed,260,,1
51,111,Directed,261,,8
51,110,Directed,262,,2
51,138,Directed,263,,34
222,178,Directed,264,,14
3,63,Directed,265,,65
3,180,Directed,266,,3
3,93,Directed,267,,16
3,2,Directed,268,,1
3,197,Directed,269,,2
255,39,Directed,270,,1
255,173,Directed,271,,10
255,47,Directed,272,,20
255,81,Directed,273,,1
255,290,Directed,274,,16
255,141,Directed,275,,22
255,40,Directed,276,,1
255,130,Directed,277,,59
187,31,Directed,278,,1
187,76,Directed,279,,9
250,92,Directed,280,,2
250,109,Directed,281,,144
250,175,Directed,282,,4
250,293,Directed,283,,114
250,59,Directed,284,,1
80,265,Directed,285,,69
80,12,Directed,286,,1
80,49,Directed,287,,1
80,283,Directed,288,,1
80,98,Directed,289,,1
80,210,Directed,290,,299
80,28,Directed,291,,1
80,94,Directed,292,,1
80,124,Directed,293,,17
80,120,Directed,294,,134
80,51,Directed,295,,1
232,247,Directed,296,,2
232,204,Directed,297,,10
232,68,Directed,298,,3
232,262,Directed,299,,4
232,110,Directed,300,,45
153,224,Directed,301,,12
153,73,Directed,302,,1
153,228,Directed,303,,1
41,186,Directed,304,,138
41,33,Directed,305,,17
41,25,Directed,306,,3
41,38,Directed,307,,16
41,289,Directed,308,,3
41,188,Directed,309,,3
144,151,Directed,310,,5
144,200,Directed,311,,16
144,89,Directed,312,,8
144,243,Directed,313,,3
144,79,Directed,314,,1
144,174,Directed,315,,3
144,269,Directed,316,,5
144,209,Directed,317,,1
103,112,Directed,318,,1
103,294,Directed,319,,6
103,168,Directed,320,,1
103,114,Directed,321,,2
103,160,Directed,322,,33
103,100,Directed,323,,3
103,279,Directed,324,,64
103,239,Directed,325,,3
103,37,Directed,326,,3
128,55,Directed,327,,8
128,75,Directed,328,,13
128,52,Directed,329,,6
218,152,Directed,330,,1
218,29,Directed,331,,21
218,245,Directed,332,,15
218,286,Directed,333,,1
218,169,Directed,334,,2
64,158,Directed,335,,28
64,46,Directed,336,,15
51,17,Directed,337,,3
51,260,Directed,338,,8
51,27,Directed,339,,4
258,45,Directed,340,,3
258,123,Directed,341,,4
222,106,Directed,342,,6
3,93,Directed,343,,24
255,227,Directed,344,,1
255,47,Directed,345,,42
255,291,Directed,346,,1
255,104,Directed,347,,1
255,284,Directed,348,,1
255,22,Directed,349,,1
255,19,Directed,350,,1
255,263,Directed,351,,1
255,140,Directed,352,,1
255,130,Directed,353,,71
187,195,Directed,354,,5
187,248,Directed,355,,2
187,23,Directed,356,,5
187,244,Directed,357,,1
187,88,Directed,358,,3
187,34,Directed,359,,3
187,76,Directed,360,,3
250,109,Directed,361,,53
250,113,Directed,362,,1
250,293,Directed,363,,46
233,99,Directed,364,,1
233,234,Directed,365,,1
233,162,Directed,366,,1
233,34,Directed,367,,5
80,0,Directed,368,,1
80,147,Directed,369,,1
80,210,Directed,370,,412
80,95,Directed,371,,1
80,119,Directed,372,,1
80,268,Directed,373,,9
80,161,Directed,374,,1
80,30,Directed,375,,1
80,287,Directed,376,,1
80,202,Directed,377,,1
80,231,Directed,378,,30
80,120,Directed,379,,57
80,118,Directed,380,,13
80,176,Directed,381,,16
232,247,Directed,382,,17
232,14,Directed,383,,1
232,108,Directed,384,,2
232,217,Directed,385,,1
232,242,Directed,386,,1
232,68,Directed,387,,15
232,127,Directed,388,,1
232,110,Directed,389,,105
153,224,Directed,390,,25
153,216,Directed,391,,8
41,186,Directed,392,,227
41,57,Directed,393,,1
41,230,Directed,394,,1
41,289,Directed,395,,32
41,85,Directed,396,,2
41,174,Directed,397,,1
41,146,Directed,398,,1
41,116,Directed,399,,1
144,200,Directed,400,,40
144,243,Directed,401,,1
144,163,Directed,402,,7
144,259,Directed,403,,1
144,266,Directed,404,,9
144,237,Directed,405,,1
144,155,Directed,406,,6
144,174,Directed,407,,1
144,271,Directed,408,,1
135,236,Directed,409,,1
135,207,Directed,410,,1
103,168,Directed,411,,13
103,35,Directed,412,,1
103,150,Directed,413,,5
103,134,Directed,414,,1
103,279,Directed,415,,110
103,289,Directed,416,,1
103,9,Directed,417,,1
128,55,Directed,418,,1
128,58,Directed,419,,1
128,249,Directed,420,,14
128,240,Directed,421,,1
128,52,Directed,422,,14
128,78,Directed,423,,1
218,97,Directed,424,,1
218,29,Directed,425,,48
218,90,Directed,426,,9
218,157,Directed,427,,13
218,169,Directed,428,,16
64,105,Directed,429,,9
64,270,Directed,430,,2
