id,label,modularity_class,degree
0,153600,0,1
1,388100,0,1
2,917000,0,1
3,882700,0,1
4,170000,0,1
5,391000,0,1
6,45504,0,1
7,929304,0,2
8,170500,0,1
9,1471004,0,1
10,327600,0,1
11,736804,0,2
12,297000,0,1
13,271404,0,1
14,719704,0,1
15,1053704,0,1
16,93600,0,2
17,78900,0,4
18,531000,0,1
19,686800,0,1
20,859200,0,2
21,253000,0,1
22,895500,0,1
23,692300,0,1
24,323000,0,1
25,546900,0,1
26,1599804,0,1
27,115800,0,3
28,204900,0,2
29,900700,0,3
30,933904,0,1
31,789604,0,3
32,64700,0,1
33,277104,0,1
34,861300,0,8
35,530804,0,1
36,46200,0,1
37,989204,0,1
38,437200,0,2
39,169600,0,1
40,420800,0,1
41,2080704,0,2
42,408200,0,1
43,220300,0,1
44,813200,0,1
45,146200,0,1
46,202900,0,1
47,194200,0,1
48,427204,0,1
49,1517504,0,1
50,484000,0,1
51,1704104,0,1
52,3100,0,1
53,521900,0,1
54,22800,0,6
55,14000,0,1
56,333000,0,1
57,173700,0,2
58,926900,0,1
59,62400,0,1
60,310900,0,1
61,39100,0,1
62,376000,0,2
63,17604,0,6
64,217800,0,1
65,1094604,0,1
66,59600,0,2
67,875400,0,2
68,2440404,0,2
69,80904,0,2
70,1347804,0,1
71,1198304,0,1
72,418000,0,1
73,317900,0,1
74,681700,0,1
75,16104,0,1
76,395500,0,1
77,11504,0,1
78,2443304,0,3
79,352500,0,1
80,91900,0,2
81,427200,0,4
82,316800,0,1
83,407300,0,1
84,328200,0,1
85,358700,0,1
86,172000,0,1
87,227600,0,1
88,500500,0,1
89,449304,0,4
90,429700,0,1
91,623904,0,4
92,9000,0,308
93,422700,0,1
94,51504,0,1
95,504200,0,1
96,98100,0,2
97,409400,0,1
98,68404,0,1
99,285500,0,1
100,517600,0,1
101,37700,0,2
102,705000,0,6
103,444300,0,1
104,86500,0,2
105,2004304,0,14
106,2466104,0,1
107,600404,0,19
108,263000,0,1
109,965604,0,1
110,11100,0,1
111,1467104,0,1
112,198800,0,1
113,352100,0,1
114,354000,0,1
115,407400,0,1
116,919100,0,1
117,761200,0,1
118,1046504,0,1
119,236404,0,2
120,561300,0,1
121,696700,0,1
122,939904,0,3
123,269700,0,2
124,913800,0,34
125,583404,0,1
126,418700,0,1
127,448400,0,1
128,465304,0,1
129,204100,0,2
130,191900,0,4
131,1075104,0,2
132,167400,0,1
133,2481704,0,1
134,2491304,0,1
135,1621404,0,1
136,328700,0,1
137,468400,0,1
138,357300,0,2
139,54200,0,6
140,147700,0,1
141,416700,0,1
142,36800,0,1
143,2124704,0,3
144,911300,0,2
145,32200,0,1
146,253004,0,1
147,19404,0,4
148,130000,0,1
149,552400,0,2
150,2130904,0,1
151,454500,0,1
152,167900,0,1
153,257504,0,3
154,581604,0,2
155,1520104,0,1
156,130300,0,1
157,517800,0,1
158,192600,0,1
159,1035604,0,1
160,388800,0,1
