id,label,modularity_class,degree
0,118200,0,1
1,170500,0,2
2,454200,0,1
3,917000,0,12
4,509100,0,1
5,55000,0,3
6,451600,0,1
7,7000,0,1
8,353300,0,2
9,564200,0,1
10,50200,0,1
11,407300,0,1
12,24500,0,1
13,1471004,0,1
14,192500,0,1
15,544800,0,1
16,890800,0,1
17,220100,0,1
18,736804,0,1
19,292100,0,1
20,437800,0,1
21,55900,0,1
22,285400,0,1
23,190000,0,2
24,328200,0,1
25,184700,0,1
26,424500,0,1
27,538200,0,1
28,328500,0,1
29,347704,0,5
30,357300,0,2
31,395400,0,2
32,407100,0,1
33,27504,0,1
34,551500,0,4
35,130400,0,2
36,926900,0,1
37,504900,0,2
38,332104,0,1
39,16200,0,1
40,862400,0,1
41,253000,0,33
42,364900,0,1
43,253004,0,1
44,381000,0,1
45,517200,0,2
46,626104,0,2
47,240000,0,3
48,115800,0,1
49,51300,0,1
50,1279404,0,1
51,900700,0,20
52,468200,0,3
53,175200,0,1
54,170000,0,1
55,26804,0,5
56,380004,0,3
57,202800,0,1
58,163400,0,1
59,886700,0,1
60,376000,0,1
61,442900,0,1
62,277104,0,1
63,23400,0,2
64,861300,0,23
65,199800,0,1
66,1501204,0,1
67,293500,0,1
68,348800,0,4
69,2080704,0,1
70,286400,0,1
71,408200,0,1
72,43104,0,1
73,399000,0,1
74,143500,0,1
75,465900,0,3
76,732304,0,4
77,159000,0,1
78,919700,0,3
79,195300,0,1
80,194200,0,58
81,405700,0,1
82,95900,0,1
83,509600,0,1
84,863600,0,2
85,406400,0,2
86,327600,0,1
87,1751204,0,1
88,543400,0,1
89,54300,0,1
90,412500,0,2
91,342900,0,1
92,19304,0,1
93,165704,0,4
94,409800,0,1
95,235400,0,1
96,184500,0,2
97,201200,0,1
98,197700,0,1
99,26900,0,1
100,188600,0,1
101,547700,0,1
102,115900,0,1
103,388800,0,24
104,269600,0,1
105,86700,0,2
106,17604,0,5
107,170900,0,1
108,208600,0,3
109,19404,0,5
110,465100,0,7
111,393700,0,1
112,28700,0,1
113,59600,0,1
114,110200,0,1
115,440704,0,1
116,488100,0,1
117,486100,0,1
118,816104,0,1
119,252700,0,1
120,524504,0,5
121,350500,0,1
122,1561804,0,2
123,2128604,0,1
124,518104,0,2
125,24800,0,1
126,552400,0,1
127,378800,0,1
128,681700,0,34
129,361700,0,1
130,2076904,0,5
131,875900,0,1
132,177900,0,1
133,521000,0,1
134,307500,0,1
135,352500,0,6
136,190700,0,1
137,459800,0,1
138,1261304,0,4
139,95700,0,1
140,896900,0,1
141,818100,0,2
142,91900,0,1
143,44800,0,1
144,316800,0,28
145,906500,0,1
146,485300,0,1
147,227100,0,1
148,373000,0,1
149,269100,0,1
150,172000,0,1
151,13000,0,1
152,151000,0,1
153,227600,0,23
154,343000,0,1
155,415900,0,1
156,500500,0,2
157,509700,0,1
158,449304,0,6
159,525700,0,1
160,118900,0,1
161,338800,0,1
162,189900,0,2
163,94000,0,1
164,154400,0,1
165,10800,0,1
166,918400,0,1
167,901300,0,1
168,104400,0,3
169,945900,0,2
170,149000,0,1
171,9000,0,55
172,524400,0,1
173,97700,0,1
174,448300,0,5
175,534900,0,1
176,1043304,0,1
177,549000,0,1
178,865900,0,1
179,132404,0,1
180,25200,0,1
181,27700,0,1
182,923600,0,1
183,931000,0,1
184,187200,0,1
185,940000,0,1
186,1204,0,5
187,37700,0,26
188,2318304,0,1
189,878300,0,1
190,528200,0,1
191,553100,0,1
192,365900,0,1
193,2004304,0,3
194,556600,0,1
195,1100,0,1
196,600404,0,3
197,472300,0,1
198,83800,0,1
199,626404,0,1
200,38604,0,4
201,523100,0,1
202,470800,0,1
203,399200,0,1
204,211600,0,1
205,520600,0,1
206,454500,0,1
207,490404,0,1
208,100200,0,1
209,515400,0,1
210,228204,0,5
211,492400,0,1
212,84200,0,1
213,125100,0,1
214,236404,0,1
215,116600,0,1
216,561300,0,3
217,249000,0,1
218,696700,0,26
219,939904,0,2
220,72300,0,1
221,13700,0,1
222,913800,0,18
223,583404,0,1
224,50904,0,5
225,563600,0,1
226,347800,0,1
227,47000,0,1
228,456900,0,1
229,311700,0,1
230,338400,0,1
231,495000,0,2
232,204100,0,29
233,191900,0,9
234,189800,0,1
235,364400,0,1
236,139600,0,1
237,246200,0,1
238,276900,0,1
239,436500,0,2
240,319400,0,1
241,383900,0,1
242,323500,0,1
243,93100,0,4
244,368100,0,1
245,442800,0,2
246,477000,0,1
247,7604,0,3
248,58100,0,1
249,310700,0,1
250,54200,0,15
251,147700,0,1
252,522700,0,1
253,542400,0,1
254,78900,0,2
255,36800,0,39
256,484000,0,1
257,414900,0,1
258,911300,0,5
259,111600,0,1
260,426100,0,2
261,45000,0,1
262,461900,0,2
263,692600,0,1
264,279500,0,1
265,23304,0,1
266,192600,0,1
267,130000,0,1
268,324600,0,1
269,468400,0,2
270,223700,0,2
271,756100,0,1
272,2130904,0,1
273,91300,0,1
274,461700,0,1
275,321500,0,1
276,40200,0,1
277,943400,0,1
278,257504,0,1
279,353104,0,4
280,581604,0,1
281,933904,0,1
282,193000,0,1
283,181500,0,1
284,279900,0,1
285,222700,0,1
286,521200,0,1
287,407400,0,1
288,230900,0,1
289,395500,0,4
290,541200,0,2
291,263000,0,1
292,336200,0,1
293,562004,0,3
294,63600,0,1
