source,target,type,id,label,weight
0,19,Directed,0,,2
0,77,Directed,1,,2
0,103,Directed,2,,9
0,107,Directed,3,,2
6,7,Directed,4,,217
6,44,Directed,5,,2
6,89,Directed,6,,1
7,4,Directed,7,,3
7,6,Directed,8,,233
7,10,Directed,9,,6
7,21,Directed,10,,1
7,39,Directed,11,,4
7,48,Directed,12,,4
7,69,Directed,13,,2
8,65,Directed,14,,2
8,70,Directed,15,,4
8,72,Directed,16,,3
11,25,Directed,17,,2
11,31,Directed,18,,317
11,80,Directed,19,,1
12,33,Directed,20,,9
12,48,Directed,21,,3
12,66,Directed,22,,6
12,75,Directed,23,,2
14,38,Directed,24,,1
14,49,Directed,25,,2
14,67,Directed,26,,1
14,81,Directed,27,,1
14,100,Directed,28,,1
15,4,Directed,29,,2
15,62,Directed,30,,1
15,69,Directed,31,,1
15,81,Directed,32,,4
18,3,Directed,33,,17
18,32,Directed,34,,1
18,40,Directed,35,,1
18,46,Directed,36,,11
18,49,Directed,37,,2
18,56,Directed,38,,1
18,86,Directed,39,,1
18,97,Directed,40,,1
20,4,Directed,41,,50
20,34,Directed,42,,103
20,37,Directed,43,,1
22,41,Directed,44,,23
22,64,Directed,45,,1
22,88,Directed,46,,7
25,7,Directed,47,,1
25,11,Directed,48,,3
25,51,Directed,49,,1
25,69,Directed,50,,1
27,24,Directed,51,,81
27,36,Directed,52,,7
27,83,Directed,53,,12
29,37,Directed,54,,1
29,39,Directed,55,,2
29,69,Directed,56,,20
30,23,Directed,57,,1
30,64,Directed,58,,1
30,90,Directed,59,,35
32,18,Directed,60,,6
32,56,Directed,61,,5
32,73,Directed,62,,6
34,1,Directed,63,,390
34,4,Directed,64,,90
34,51,Directed,65,,1
36,5,Directed,66,,3
36,27,Directed,67,,8
36,74,Directed,68,,15
38,16,Directed,69,,5
38,46,Directed,70,,1
38,84,Directed,71,,1
38,93,Directed,72,,10
39,7,Directed,73,,1
39,69,Directed,74,,1
39,96,Directed,75,,2
41,22,Directed,76,,37
41,42,Directed,77,,17
41,82,Directed,78,,1
44,6,Directed,79,,5
44,37,Directed,80,,1
44,39,Directed,81,,1
48,7,Directed,82,,3
48,12,Directed,83,,3
48,52,Directed,84,,7
48,58,Directed,85,,60
53,3,Directed,86,,45
53,27,Directed,87,,1
53,87,Directed,88,,2
56,18,Directed,89,,3
56,23,Directed,90,,7
56,32,Directed,91,,3
56,45,Directed,92,,1
56,64,Directed,93,,4
56,80,Directed,94,,7
57,86,Directed,95,,2
57,95,Directed,96,,9
57,109,Directed,97,,58
60,13,Directed,98,,5
60,23,Directed,99,,1
60,101,Directed,100,,1
62,1,Directed,101,,379
62,2,Directed,102,,48
62,28,Directed,103,,41
62,45,Directed,104,,3
62,101,Directed,105,,1
64,23,Directed,106,,165
64,26,Directed,107,,3
64,56,Directed,108,,8
64,80,Directed,109,,4
65,55,Directed,110,,18
65,72,Directed,111,,19
65,82,Directed,112,,8
69,7,Directed,113,,6
69,17,Directed,114,,3
69,29,Directed,115,,2
69,39,Directed,116,,8
69,102,Directed,117,,4
69,107,Directed,118,,1
72,47,Directed,119,,1
72,65,Directed,120,,12
72,82,Directed,121,,7
73,23,Directed,122,,22
73,32,Directed,123,,4
73,53,Directed,124,,4
75,12,Directed,125,,1
75,54,Directed,126,,1
75,85,Directed,127,,19
75,92,Directed,128,,77
79,7,Directed,129,,9
79,9,Directed,130,,3
79,10,Directed,131,,31
79,71,Directed,132,,51
79,76,Directed,133,,11
79,105,Directed,134,,7
81,63,Directed,135,,131
81,93,Directed,136,,1
81,104,Directed,137,,44
81,106,Directed,138,,6
82,8,Directed,139,,556
82,50,Directed,140,,3
82,64,Directed,141,,1
82,65,Directed,142,,13
82,70,Directed,143,,3
82,72,Directed,144,,10
82,101,Directed,145,,1
85,33,Directed,146,,1
85,61,Directed,147,,2
85,75,Directed,148,,80
85,78,Directed,149,,2
85,99,Directed,150,,23
90,30,Directed,151,,49
90,35,Directed,152,,1
90,91,Directed,153,,2
93,38,Directed,154,,12
93,47,Directed,155,,15
93,103,Directed,156,,1
93,107,Directed,157,,11
94,4,Directed,158,,5
94,45,Directed,159,,6
94,59,Directed,160,,1
94,98,Directed,161,,3
94,99,Directed,162,,8
101,36,Directed,163,,1
101,43,Directed,164,,1
101,103,Directed,165,,1
104,68,Directed,166,,1
104,81,Directed,167,,23
104,106,Directed,168,,16
108,43,Directed,169,,15
108,81,Directed,170,,4
108,104,Directed,171,,3
