id,label,In-Degree,Out-Degree,degree,modularity_class,Eccentricity,Closeness Centrality,betweenness_centrality
0,,0,4,4,12,1.0,1.0,0.0
19,,1,0,1,12,0.0,0.0,0.0
77,,1,0,1,12,0.0,0.0,0.0
103,,3,0,3,12,0.0,0.0,0.0
107,,3,0,3,12,0.0,0.0,0.0
6,,2,3,5,0,6.0,3.185185185185185,36.5
7,,6,7,13,0,5.0,2.4444444444444446,235.0
44,,1,3,4,0,7.0,3.740740740740741,5.0
89,,1,0,1,0,0.0,0.0,0.0
4,,5,0,5,7,0.0,0.0,0.0
10,,2,0,2,0,0.0,0.0,0.0
21,,1,0,1,0,0.0,0.0,0.0
39,,4,3,7,0,6.0,3.111111111111111,36.5
48,,2,4,6,3,4.0,2.5185185185185186,171.0
69,,5,6,11,0,6.0,2.962962962962963,91.0
8,,1,3,4,1,8.0,4.393939393939394,0.0
65,,3,3,6,1,7.0,3.5757575757575757,19.0
70,,2,0,2,1,0.0,0.0,0.0
72,,3,3,6,1,7.0,3.5757575757575757,19.0
11,,1,3,4,2,7.0,3.78125,2.0
25,,1,4,5,2,6.0,2.9375,29.0
31,,1,0,1,2,0.0,0.0,0.0
80,,3,0,3,6,0.0,0.0,0.0
12,,2,4,6,3,5.0,2.814814814814815,137.5
33,,2,0,2,3,0.0,0.0,0.0
66,,1,0,1,3,0.0,0.0,0.0
75,,2,4,6,4,6.0,3.3333333333333335,94.0
14,,0,5,5,6,3.0,1.9375,0.0
38,,2,4,6,12,2.0,1.4285714285714286,20.0
49,,2,0,2,6,0.0,0.0,0.0
67,,1,0,1,6,0.0,0.0,0.0
81,,4,4,8,5,3.0,1.9166666666666667,35.0
100,,1,0,1,6,0.0,0.0,0.0
15,,0,4,4,5,7.0,3.358490566037736,0.0
62,,1,5,6,7,4.0,2.1538461538461537,12.5
18,,2,8,10,6,6.0,2.6818181818181817,71.0
3,,2,0,2,6,0.0,0.0,0.0
32,,3,3,6,6,5.0,2.5454545454545454,74.0
40,,1,0,1,6,0.0,0.0,0.0
46,,2,0,2,6,0.0,0.0,0.0
56,,3,6,9,6,6.0,2.727272727272727,139.5
86,,2,0,2,11,0.0,0.0,0.0
97,,1,0,1,6,0.0,0.0,0.0
20,,0,3,3,7,2.0,1.4,0.0
34,,1,3,4,7,1.0,1.0,2.0
37,,3,0,3,0,0.0,0.0,0.0
22,,1,3,4,8,6.0,3.4594594594594597,9.5
41,,1,3,4,8,7.0,3.4594594594594597,18.0
64,,4,4,8,6,7.0,3.5,142.0
88,,1,0,1,8,0.0,0.0,0.0
51,,2,0,2,2,0.0,0.0,0.0
27,,2,3,5,9,2.0,1.4,62.0
24,,1,0,1,9,0.0,0.0,0.0
36,,2,3,5,9,2.0,1.4,68.0
83,,1,0,1,9,0.0,0.0,0.0
29,,1,3,4,0,7.0,3.7777777777777777,8.0
30,,1,3,4,10,8.0,4.0,23.0
23,,5,0,5,6,0.0,0.0,0.0
90,,1,3,4,10,9.0,4.8076923076923075,2.0
73,,1,3,4,6,4.0,2.6363636363636362,60.5
1,,2,0,2,7,0.0,0.0,0.0
5,,1,0,1,9,0.0,0.0,0.0
74,,1,0,1,9,0.0,0.0,0.0
16,,1,0,1,12,0.0,0.0,0.0
84,,1,0,1,12,0.0,0.0,0.0
93,,2,4,6,12,2.0,1.4285714285714286,32.5
96,,1,0,1,0,0.0,0.0,0.0
42,,1,0,1,8,0.0,0.0,0.0
82,,3,7,10,1,6.0,2.727272727272727,125.5
52,,1,0,1,3,0.0,0.0,0.0
58,,1,0,1,3,0.0,0.0,0.0
53,,1,3,4,6,3.0,1.875,56.0
87,,1,0,1,6,0.0,0.0,0.0
45,,3,0,3,4,0.0,0.0,0.0
57,,0,3,3,11,1.0,1.0,0.0
95,,1,0,1,11,0.0,0.0,0.0
109,,1,0,1,11,0.0,0.0,0.0
60,,0,3,3,6,4.0,2.3636363636363638,0.0
13,,1,0,1,6,0.0,0.0,0.0
101,,3,3,6,6,3.0,1.875,71.5
2,,1,0,1,7,0.0,0.0,0.0
28,,1,0,1,7,0.0,0.0,0.0
26,,1,0,1,6,0.0,0.0,0.0
55,,1,0,1,1,0.0,0.0,0.0
17,,1,0,1,0,0.0,0.0,0.0
102,,1,0,1,0,0.0,0.0,0.0
47,,2,0,2,12,0.0,0.0,0.0
54,,1,0,1,4,0.0,0.0,0.0
85,,1,5,6,4,7.0,4.0,39.5
92,,1,0,1,4,0.0,0.0,0.0
79,,0,6,6,0,6.0,3.03125,0.0
9,,1,0,1,0,0.0,0.0,0.0
71,,1,0,1,0,0.0,0.0,0.0
76,,1,0,1,0,0.0,0.0,0.0
105,,1,0,1,0,0.0,0.0,0.0
63,,1,0,1,5,0.0,0.0,0.0
104,,2,3,5,5,4.0,2.5833333333333335,4.5
106,,2,0,2,5,0.0,0.0,0.0
50,,1,0,1,1,0.0,0.0,0.0
61,,1,0,1,4,0.0,0.0,0.0
78,,1,0,1,4,0.0,0.0,0.0
99,,2,0,2,4,0.0,0.0,0.0
35,,1,0,1,10,0.0,0.0,0.0
91,,1,0,1,10,0.0,0.0,0.0
94,,0,5,5,4,1.0,1.0,0.0
59,,1,0,1,4,0.0,0.0,0.0
98,,1,0,1,4,0.0,0.0,0.0
43,,2,0,2,5,0.0,0.0,0.0
68,,1,0,1,5,0.0,0.0,0.0
108,,0,3,3,5,4.0,2.5,0.0
